is_Male,is_Married,Dependents,is_Graduated,is_Self_Employed,AplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,has_Credit_History,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,TotalIncome,Loan_Status
1.0,1.0,1.0,1,1.0,7.781138509845015,0.0,146.36949152542374,360.0,1.0,0,1,0,7.781138509845015,1
0.0,1.0,2.0,1,0.0,8.36240897761537,0.0,127.0,360.0,1.0,0,1,0,8.804775258867686,1
1.0,1.0,2.0,1,0.0,7.903965634032166,0.0,97.0,360.0,1.0,0,1,0,8.262300941787448,1
1.0,1.0,3.0,1,0.0,8.648747631156539,0.0,128.0,360.0,1.0,0,0,1,8.648747631156539,1
1.0,1.0,2.0,1,0.0,8.457018468380168,0.0,150.0,360.0,1.0,0,1,0,8.715224041915372,1
1.0,1.0,1.0,1,0.0,8.699514748210191,0.0,160.0,360.0,1.0,1,0,0,8.699514748210191,1
1.0,0.0,2.0,1,0.0,8.173857454773621,0.0,80.0,360.0,0.0,1,0,0,8.173857454773621,0
0.0,0.0,0.0,1,0.0,8.060224240440958,0.0,132.0,360.0,1.0,1,0,0,8.724369949208368,1
1.0,1.0,1.0,1,0.0,7.932721027481948,0.0,146.0,360.0,0.0,1,0,0,8.456168489578463,0
0.0,0.0,0.0,1,0.0,8.597297435657898,0.0,143.0,480.0,0.0,0,0,1,8.597297435657898,0
1.0,1.0,2.0,1,0.0,8.66888370465667,0.0,120.0,360.0,1.0,1,0,0,9.289059126687574,1
1.0,0.0,0.0,0,1.0,7.8567067930958405,0.0,104.0,360.0,1.0,1,0,0,8.465899897028686,1
0.0,0.0,0.0,0,0.0,7.553286605600419,0.0,120.0,360.0,1.0,0,0,1,8.35983738064003,1
0.0,0.0,0.0,1,0.0,8.064636475774222,0.0,71.0,360.0,0.0,0,0,1,8.064636475774222,0
1.0,1.0,2.0,1,0.0,8.056109659545061,0.0,134.0,360.0,1.0,0,0,1,8.45807992692373,1
